"","SEQN","INDFMMPI","INDFMMPC"
"3775",113037,1.52,2
"3776",113038,2.02,3
"3777",113039,NA,9
"3778",113040,2.18,3
"3779",113041,1.04,1
"3780",113042,2.8,3
"3781",113043,0,1
"3782",113044,NA,9
"3783",113045,NA,NA
"3784",113046,0.69,1
"3785",113047,2.11,3
"3786",113048,5,3
"3787",113049,1.39,2
"3788",113050,1.67,2
"3789",113051,4.43,3
"3790",113052,NA,NA
"3791",113053,1.1,1
"3792",113054,5,3
"3793",113055,0.61,1
"3794",113056,0.88,1
"3795",113057,2.1,3
"3796",113058,NA,NA
"3797",113059,1.07,1
"3798",113060,2.39,3
"3799",113061,NA,NA
"3800",113062,0.4,1
"3801",113063,NA,3
"3802",113064,5,3
"3803",113065,1.39,2
"3804",113066,1.19,1
"3805",113067,1.9,3
"3806",113068,2.48,3
"3807",113069,1.43,2
"3808",113070,5,3
"3809",113071,1.5,2
"3810",113072,NA,3
"3811",113073,NA,2
"3812",113074,NA,NA
"3813",113075,NA,NA
"3814",113076,1.28,1
"3815",113077,4.5,3
"3816",113078,5,3
"3817",113079,2.39,3
"3818",113080,2.45,3
"3819",113081,4.17,3
"3820",113082,4.65,3
"3821",113083,3.22,3
"3822",113084,0.72,1
"3823",113085,0.52,1
"3824",113086,NA,3
"3825",113087,1.97,3
"3826",113088,NA,3
"3827",113089,0.14,1
"3828",113090,2.13,3
"3829",113091,NA,7
"3830",113092,3.55,3
"3831",113093,0.35,1
"3832",113094,NA,NA
"3833",113095,NA,NA
"3834",113096,NA,NA
"3835",113097,NA,NA
"3836",113098,5,3
"3837",113099,0.93,1
"3838",113100,0.98,1
"3839",113101,2.1,3
"3840",113102,1.4,2
"3841",113103,NA,1
"3842",113104,5,3
"3843",113105,NA,3
"3844",113106,2.04,3
"3845",113107,1.17,1
"3846",113108,0.33,1
"3847",113109,2.31,3
"3848",113110,1.72,2
"3849",113111,5,3
"3850",113112,1.31,2
"3851",113113,0.98,1
"3852",113114,1.24,1
"3853",113115,5,3
"3854",113116,2.19,3
"3855",113117,2.35,3
"3856",113118,1.11,1
"3857",113119,5,3
"3858",113120,2.36,3
"3859",113121,3,3
"3860",113122,3.53,3
"3861",113123,2.82,3
"3862",113124,5,3
"3863",113125,4.58,3
"3864",113126,1.16,1
"3865",113127,NA,NA
"3866",113128,1.48,2
"3867",113129,1.68,2
"3868",113130,2.55,3
"3869",113131,NA,NA
"3870",113132,NA,NA
"3871",113133,1.18,1
"3872",113134,NA,3
"3873",113135,1.2,1
"3874",113136,1.48,2
"3875",113137,NA,3
"3876",113138,1.39,2
"3877",113139,5,3
"3878",113140,0.93,1
"3879",113141,2.88,3
"3880",113142,5,3
"3881",113143,0.55,1
"3882",113144,1.99,3
"3883",113145,5,3
"3884",113146,NA,1
"3885",113147,0.76,1
"3886",113148,0.36,1
"3887",113149,0,1
"3888",113150,1.42,2
"3889",113151,NA,3
"3890",113152,0,1
"3891",113153,5,3
"3892",113154,4.22,3
"3893",113155,NA,1
"3894",113156,1.79,2
"3895",113157,0.88,1
"3896",113158,1.47,2
"3897",113159,0.92,1
"3898",113160,1.31,2
"3899",113161,2.77,3
"3900",113162,NA,NA
"3901",113163,NA,NA
"3902",113164,1.99,3
"3903",113165,0.71,1
"3904",113166,2.89,3
"3905",113167,1.29,1
"3906",113168,4.14,3
"3907",113169,5,3
"3908",113170,1.5,2
"3909",113171,0.7,1
"3910",113172,NA,1
"3911",113173,3.02,3
"3912",113174,NA,NA
"3913",113175,5,3
"3914",113176,0,1
"3915",113177,0.61,1
"3916",113178,3.65,3
"3917",113179,NA,NA
"3918",113180,5,3
"3919",113181,2.89,3
"3920",113182,3.28,3
"3921",113183,4.94,3
"3922",113184,NA,NA
"3923",113185,2.32,3
"3924",113186,0.5,1
"3925",113187,NA,1
"3926",113188,2.96,3
"3927",113189,1.6,2
"3928",113190,1.43,2
"3929",113191,1.67,2
"3930",113192,2.19,3
"3931",113193,1.4,2
"3932",113194,NA,1
"3933",113195,1.11,1
"3934",113196,3.41,3
"3935",113197,2.08,3
"3936",113198,1.19,1
"3937",113199,1.35,2
"3938",113200,3.48,3
"3939",113201,4.8,3
"3940",113202,3.18,3
"3941",113203,0.29,1
"3942",113204,0.6,1
"3943",113205,0.72,1
"3944",113206,1.39,2
"3945",113207,1.3,1
"3946",113208,2.1,3
"3947",113209,5,3
"3948",113210,5,3
"3949",113211,0.56,1
"3950",113212,0.72,1
"3951",113213,2.94,3
"3952",113214,1.04,1
"3953",113215,1.21,1
"3954",113216,3.39,3
"3955",113217,NA,1
"3956",113218,NA,NA
"3957",113219,0.03,1
"3958",113220,5,3
"3959",113221,0.8,1
"3960",113222,4.48,3
"3961",113223,3.65,3
"3962",113224,3.65,3
"3963",113225,0.87,1
"3964",113226,NA,3
"3965",113227,1.56,2
"3966",113228,2.45,3
"3967",113229,5,3
"3968",113230,NA,9
"3969",113231,1.79,2
"3970",113232,3.9,3
"3971",113233,4.62,3
"3972",113234,0.53,1
"3973",113235,1.99,3
"3974",113236,2.35,3
"3975",113237,1.76,2
"3976",113238,0.35,1
"3977",113239,0.82,1
"3978",113240,4.8,3
"3979",113241,2.59,3
"3980",113242,0.9,1
"3981",113243,NA,3
"3982",113244,NA,1
"3983",113245,NA,NA
"3984",113246,NA,1
"3985",113247,5,3
"3986",113248,5,3
"3987",113249,2.1,3
"3988",113250,3.48,3
"3989",113251,3.11,3
"3990",113252,1.86,3
"3991",113253,5,3
"3992",113254,5,3
"3993",113255,2.25,3
"3994",113256,NA,3
"3995",113257,5,3
"3996",113258,0,1
"3997",113259,1.73,2
"3998",113260,0.98,1
"3999",113261,0.98,1
"4000",113262,0.85,1
"4001",113263,0,1
"4002",113264,NA,9
"4003",113265,0.3,1
"4004",113266,0,1
"4005",113267,1.27,1
"4006",113268,NA,3
"4007",113269,1.67,2
"4008",113270,3.11,3
"4009",113271,NA,NA
"4010",113272,1.37,2
"4011",113273,NA,3
"4012",113274,4.63,3
"4013",113275,5,3
"4014",113276,NA,3
"4015",113277,3.3,3
"4016",113278,1.48,2
"4017",113279,0.98,1
"4018",113280,0.71,1
"4019",113281,0.3,1
"4020",113282,NA,NA
"4021",113283,0.53,1
"4022",113284,1.35,2
"4023",113285,1.11,1
"4024",113286,NA,3
"4025",113287,1.02,1
"4026",113288,3.5,3
"4027",113289,NA,7
"4028",113290,1.31,2
"4029",113291,1.17,1
"4030",113292,4.88,3
"4031",113293,NA,NA
"4032",113294,5,3
"4033",113295,5,3
"4034",113296,3.74,3
"4035",113297,1.31,2
"4036",113298,2.11,3
"4037",113299,NA,3
"4038",113300,NA,2
"4039",113301,NA,3
"4040",113302,4.33,3
"4041",113303,5,3
"4042",113304,0.39,1
"4043",113305,5,3
"4044",113306,0.79,1
"4045",113307,3.88,3
"4046",113308,1.93,3
"4047",113309,5,3
"4048",113310,1.09,1
"4049",113311,1.11,1
"4050",113312,5,3
"4051",113313,1.19,1
"4052",113314,NA,3
"4053",113315,2.75,3
"4054",113316,3.39,3
"4055",113317,NA,9
"4056",113318,2.44,3
"4057",113319,1.4,2
"4058",113320,3.55,3
"4059",113321,2.04,3
"4060",113322,2.79,3
"4061",113323,NA,NA
"4062",113324,NA,3
"4063",113325,4.45,3
"4064",113326,0.86,1
"4065",113327,NA,1
"4066",113328,0.52,1
"4067",113329,5,3
"4068",113330,4.43,3
"4069",113331,0.99,1
"4070",113332,1.92,3
"4071",113333,0.94,1
"4072",113334,2.04,3
"4073",113335,1.34,2
"4074",113336,3.46,3
"4075",113337,1.92,3
"4076",113338,NA,1
"4077",113339,NA,1
"4078",113340,NA,NA
"4079",113341,5,3
"4080",113342,2.22,3
"4081",113343,NA,NA
"4082",113344,0.58,1
"4083",113345,NA,NA
"4084",113346,2.25,3
"4085",113347,1.95,3
"4086",113348,2.14,3
"4087",113349,5,3
"4088",113350,0.24,1
"4089",113351,1.05,1
"4090",113352,0.37,1
"4091",113353,NA,NA
"4092",113354,0.59,1
"4093",113355,1.07,1
"4094",113356,NA,1
"4095",113357,4.61,3
"4096",113358,3.41,3
"4097",113359,0,1
"4098",113360,2.48,3
"4099",113361,1.1,1
"4100",113362,1.38,2
"4101",113363,1.42,2
"4102",113364,0.73,1
"4103",113365,1.43,2
"4104",113366,1.42,2
"4105",113367,NA,3
"4106",113368,5,3
"4107",113369,2.44,3
"4108",113370,3.55,3
"4109",113371,4.92,3
"4110",113372,5,3
"4111",113373,1.36,2
"4112",113374,5,3
"4113",113375,NA,NA
"4114",113376,0.99,1
"4115",113377,0.42,1
"4116",113378,5,3
"4117",113379,3.46,3
"4118",113380,1.13,1
"4119",113381,NA,NA
"4120",113382,0.29,1
"4121",113383,NA,3
"4122",113384,1.35,2
"4123",113385,0.15,1
"4124",113386,0.24,1
"4125",113387,2.15,3
"4126",113388,NA,NA
"4127",113389,1.17,1
"4128",113390,NA,1
"4129",113391,2.13,3
"4130",113392,0.55,1
"4131",113393,1.17,1
"4132",113394,2.11,3
"4133",113395,NA,1
"4134",113396,2.25,3
"4135",113397,1.11,1
"4136",113398,4.97,3
"4137",113399,4.17,3
"4138",113400,NA,9
"4139",113401,5,3
"4140",113402,1.12,1
"4141",113403,1.44,2
"4142",113404,0.98,1
"4143",113405,0,1
"4144",113406,4.8,3
"4145",113407,NA,NA
"4146",113408,NA,3
"4147",113409,0.67,1
"4148",113410,NA,1
"4149",113411,NA,NA
"4150",113412,1.86,3
"4151",113413,0.88,1
"4152",113414,NA,NA
"4153",113415,3.9,3
"4154",113416,NA,2
"4155",113417,1.15,1
"4156",113418,1.26,1
"4157",113419,3.09,3
"4158",113420,NA,9
"4159",113421,0.49,1
"4160",113422,0.73,1
"4161",113423,0.98,1
"4162",113424,1.46,2
"4163",113425,1.64,2
"4164",113426,4.99,3
"4165",113427,3.33,3
"4166",113428,NA,1
"4167",113429,NA,NA
"4168",113430,4.43,3
"4169",113431,4.11,3
"4170",113432,3.87,3
"4171",113433,0.83,1
"4172",113434,0.46,1
"4173",113435,4.11,3
"4174",113436,2.27,3
"4175",113437,NA,NA
"4176",113438,0.51,1
"4177",113439,2.2,3
"4178",113440,5,3
"4179",113441,0.6,1
"4180",113442,NA,3
"4181",113443,5,3
"4182",113444,5,3
"4183",113445,1.43,2
"4184",113446,0.79,1
"4185",113447,NA,9
"4186",113448,2.59,3
"4187",113449,1.22,1
"4188",113450,NA,2
"4189",113451,0.76,1
"4190",113452,1.85,2
"4191",113453,1.55,2
"4192",113454,NA,NA
"4193",113455,NA,9
"4194",113456,NA,1
"4195",113457,4.06,3
"4196",113458,1.02,1
"4197",113459,NA,NA
"4198",113460,NA,NA
"4199",113461,5,3
"4200",113462,0.94,1
"4201",113463,NA,NA
"4202",113464,1.13,1
"4203",113465,1.07,1
"4204",113466,0.63,1
"4205",113467,2.35,3
"4206",113468,1.44,2
"4207",113469,2.2,3
"4208",113470,5,3
"4209",113471,0.35,1
"4210",113472,NA,NA
"4211",113473,5,3
"4212",113474,5,3
"4213",113475,1.86,3
"4214",113476,NA,NA
"4215",113477,1.63,2
"4216",113478,1.92,3
"4217",113479,1.69,2
"4218",113480,4.89,3
"4219",113481,4.7,3
"4220",113482,1.78,2
"4221",113483,1.26,1
"4222",113484,1.13,1
"4223",113485,0.57,1
"4224",113486,1.76,2
"4225",113487,2.88,3
"4226",113488,3.69,3
"4227",113489,4.19,3
"4228",113490,0.78,1
"4229",113491,NA,NA
"4230",113492,0.74,1
"4231",113493,4.97,3
"4232",113494,1.04,1
"4233",113495,4.3,3
"4234",113496,2.73,3
"4235",113497,3.9,3
"4236",113498,NA,NA
"4237",113499,3.36,3
"4238",113500,1.9,3
"4239",113501,0.86,1
"4240",113502,0,1
"4241",113503,1.82,2
"4242",113504,0.34,1
"4243",113505,5,3
"4244",113506,1.08,1
"4245",113507,3.26,3
"4246",113508,3.34,3
"4247",113509,3.48,3
"4248",113510,5,3
"4249",113511,NA,1
"4250",113512,0,1
"4251",113513,0.97,1
"4252",113514,0.84,1
"4253",113515,NA,NA
"4254",113516,NA,NA
"4255",113517,2.15,3
"4256",113518,1.68,2
"4257",113519,2.08,3
"4258",113520,1.29,1
"4259",113521,1.99,3
"4260",113522,0.96,1
"4261",113523,1.71,2
"4262",113524,3.82,3
"4263",113525,2.33,3
"4264",113526,4.3,3
"4265",113527,1.94,3
"4266",113528,1.9,3
"4267",113529,1.88,3
"4268",113530,1.58,2
"4269",113531,NA,1
"4270",113532,NA,3
"4271",113533,2.59,3
"4272",113534,4.88,3
"4273",113535,1.89,3
"4274",113536,0.98,1
"4275",113537,NA,1
"4276",113538,4.22,3
"4277",113539,2.47,3
"4278",113540,NA,NA
"4279",113541,3.38,3
"4280",113542,0.39,1
"4281",113543,1.09,1
"4282",113544,1.19,1
"4283",113545,2.14,3
"4284",113546,2.59,3
"4285",113547,1.75,2
"4286",113548,0.8,1
"4287",113549,3.58,3
"4288",113550,2.29,3
"4289",113551,2.55,3
"4290",113552,5,3
"4291",113553,5,3
"4292",113554,0.8,1
"4293",113555,1.73,2
"4294",113556,2.29,3
"4295",113557,1.91,3
"4296",113558,1.4,2
"4297",113559,4.58,3
"4298",113560,1.85,2
"4299",113561,1.04,1
"4300",113562,1.35,2
"4301",113563,NA,3
"4302",113564,1.8,2
"4303",113565,0.84,1
"4304",113566,NA,3
"4305",113567,2.44,3
"4306",113568,NA,9
"4307",113569,1.99,3
"4308",113570,NA,3
"4309",113571,3.39,3
"4310",113572,NA,NA
"4311",113573,1.41,2
"4312",113574,3.79,3
"4313",113575,0,1
"4314",113576,4.15,3
"4315",113577,1.28,1
"4316",113578,2.69,3
"4317",113579,1.07,1
"4318",113580,5,3
"4319",113581,1.43,2
"4320",113582,NA,NA
"4321",113583,5,3
"4322",113584,3.47,3
"4323",113585,0.6,1
"4324",113586,NA,3
"4325",113587,1.67,2
"4326",113588,3.43,3
"4327",113589,5,3
"4328",113590,0.88,1
"4329",113591,1.34,2
"4330",113592,5,3
"4331",113593,NA,NA
"4332",113594,0.51,1
"4333",113595,1.73,2
"4334",113596,0.58,1
"4335",113597,5,3
"4336",113598,0.88,1
"4337",113599,4.62,3
"4338",113600,1.78,2
"4339",113601,0.57,1
"4340",113602,2.49,3
"4341",113603,4.1,3
"4342",113604,NA,NA
"4343",113605,1.32,2
"4344",113606,5,3
"4345",113607,1.46,2
"4346",113608,1.8,2
"4347",113609,2.33,3
"4348",113610,NA,9
"4349",113611,NA,NA
"4350",113612,5,3
"4351",113613,0,1
"4352",113614,1.42,2
"4353",113615,NA,3
"4354",113616,2.42,3
"4355",113617,NA,NA
"4356",113618,5,3
"4357",113619,NA,2
"4358",113620,3.46,3
"4359",113621,0.94,1
"4360",113622,3.35,3
"4361",113623,2.02,3
"4362",113624,2.63,3
"4363",113625,NA,NA
"4364",113626,2.8,3
"4365",113627,NA,3
"4366",113628,1.63,2
"4367",113629,3.65,3
"4368",113630,5,3
"4369",113631,1.42,2
"4370",113632,NA,NA
"4371",113633,3.53,3
"4372",113634,0,1
"4373",113635,3.92,3
"4374",113636,NA,1
"4375",113637,1.46,2
"4376",113638,NA,NA
"4377",113639,1.14,1
"4378",113640,1.39,2
"4379",113641,1.95,3
"4380",113642,0.88,1
"4381",113643,2.02,3
"4382",113644,0.28,1
"4383",113645,0.98,1
"4384",113646,0,1
"4385",113647,1.73,2
"4386",113648,5,3
"4387",113649,5,3
"4388",113650,2.19,3
"4389",113651,1.08,1
"4390",113652,1.31,2
"4391",113653,NA,NA
"4392",113654,0.87,1
"4393",113655,0,1
"4394",113656,1.91,3
"4395",113657,2.2,3
"4396",113658,NA,NA
"4397",113659,0.68,1
"4398",113660,0,1
"4399",113661,4.26,3
"4400",113662,5,3
"4401",113663,5,3
"4402",113664,0.8,1
"4403",113665,0.96,1
"4404",113666,2.35,3
"4405",113667,1.69,2
"4406",113668,NA,3
"4407",113669,NA,NA
"4408",113670,3.34,3
"4409",113671,0.24,1
"4410",113672,NA,NA
"4411",113673,NA,1
"4412",113674,3.95,3
"4413",113675,0.8,1
"4414",113676,NA,NA
"4415",113677,1.4,2
"4416",113678,1.13,1
"4417",113679,NA,3
"4418",113680,1.48,2
"4419",113681,2.13,3
"4420",113682,1.29,1
"4421",113683,NA,1
"4422",113684,2.49,3
"4423",113685,NA,NA
"4424",113686,1.6,2
"4425",113687,NA,3
"4426",113688,1.42,2
"4427",113689,1.72,2
"4428",113690,2.71,3
"4429",113691,0.08,1
"4430",113692,0.89,1
"4431",113693,0.25,1
"4432",113694,NA,1
"4433",113695,4.52,3
"4434",113696,1.24,1
"4435",113697,2.36,3
"4436",113698,0.39,1
"4437",113699,0.92,1
"4438",113700,1.75,2
"4439",113701,0.38,1
"4440",113702,3.28,3
"4441",113703,5,3
"4442",113704,1.41,2
"4443",113705,NA,9
"4444",113706,3.26,3
"4445",113707,0.36,1
"4446",113708,4.56,3
"4447",113709,1.85,2
"4448",113710,5,3
"4449",113711,2.35,3
"4450",113712,1.17,1
"4451",113713,5,3
"4452",113714,NA,2
"4453",113715,2.36,3
"4454",113716,2.8,3
"4455",113717,NA,2
"4456",113718,2.49,3
"4457",113719,0.87,1
"4458",113720,2.04,3
"4459",113721,0.88,1
"4460",113722,0.5,1
"4461",113723,1.1,1
"4462",113724,0,1
"4463",113725,1.86,3
"4464",113726,NA,NA
"4465",113727,NA,3
"4466",113728,1.95,3
"4467",113729,NA,NA
"4468",113730,1.11,1
"4469",113731,5,3
"4470",113732,5,3
"4471",113733,0.92,1
"4472",113734,2.19,3
"4473",113735,3.65,3
"4474",113736,NA,9
"4475",113737,NA,3
"4476",113738,NA,1
"4477",113739,2.24,3
"4478",113740,1.09,1
"4479",113741,NA,1
"4480",113742,2.8,3
"4481",113743,1.95,3
"4482",113744,1.95,3
"4483",113745,3.66,3
"4484",113746,0,1
"4485",113747,5,3
"4486",113748,1.17,1
"4487",113749,2.25,3
"4488",113750,5,3
"4489",113751,2.02,3
"4490",113752,1.69,2
"4491",113753,0.8,1
"4492",113754,4.8,3
"4493",113755,2.59,3
"4494",113756,1.39,2
"4495",113757,NA,3
"4496",113758,0,1
"4497",113759,0.31,1
"4498",113760,1.85,2
"4499",113761,1.86,3
"4500",113762,1.73,2
"4501",113763,3.69,3
"4502",113764,1.1,1
"4503",113765,NA,NA
"4504",113766,3.55,3
"4505",113767,3.47,3
"4506",113768,1.15,1
"4507",113769,1.19,1
"4508",113770,NA,9
"4509",113771,NA,9
"4510",113772,1.47,2
"4511",113773,NA,NA
"4512",113774,0.5,1
"4513",113775,NA,9
"4514",113776,4.78,3
"4515",113777,2.35,3
"4516",113778,2.57,3
"4517",113779,3.07,3
"4518",113780,NA,NA
"4519",113781,1.5,2
"4520",113782,0.41,1
"4521",113783,0.73,1
"4522",113784,4.77,3
"4523",113785,NA,3
"4524",113786,4.66,3
"4525",113787,2.09,3
"4526",113788,2.34,3
"4527",113789,NA,NA
"4528",113790,5,3
"4529",113791,3.46,3
"4530",113792,0.53,1
"4531",113793,1.67,2
"4532",113794,2.86,3
"4533",113795,2.66,3
"4534",113796,4.11,3
"4535",113797,NA,3
"4536",113798,4.11,3
"4537",113799,1.76,2
"4538",113800,2.57,3
"4539",113801,0.78,1
"4540",113802,NA,NA
"4541",113803,1.14,1
"4542",113804,1.45,2
"4543",113805,0.98,1
"4544",113806,NA,2
"4545",113807,0.73,1
"4546",113808,0.56,1
"4547",113809,NA,NA
"4548",113810,0,1
"4549",113811,0.09,1
"4550",113812,NA,1
"4551",113813,2.94,3
"4552",113814,5,3
"4553",113815,0.89,1
"4554",113816,5,3
"4555",113817,NA,3
"4556",113818,2,3
"4557",113819,5,3
"4558",113820,0.82,1
"4559",113821,NA,3
"4560",113822,NA,3
"4561",113823,5,3
"4562",113824,5,3
"4563",113825,1.46,2
"4564",113826,1.63,2
"4565",113827,2.25,3
"4566",113828,NA,3
"4567",113829,NA,NA
"4568",113830,2.19,3
"4569",113831,1.47,2
"4570",113832,1.5,2
"4571",113833,1.31,2
"4572",113834,NA,NA
"4573",113835,NA,9
"4574",113836,NA,NA
"4575",113837,NA,9
"4576",113838,0.58,1
"4577",113839,1.13,1
"4578",113840,4.23,3
"4579",113841,5,3
"4580",113842,0.53,1
"4581",113843,5,3
"4582",113844,2.04,3
"4583",113845,NA,9
"4584",113846,5,3
"4585",113847,NA,1
"4586",113848,1.15,1
"4587",113849,1.25,1
"4588",113850,2.2,3
"4589",113851,5,3
"4590",113852,2,3
"4591",113853,1.54,2
"4592",113854,5,3
"4593",113855,0.5,1
"4594",113856,2.33,3
"4595",113857,5,3
"4596",113858,NA,1
"4597",113859,NA,NA
"4598",113860,NA,3
"4599",113861,3.9,3
"4600",113862,1.63,2
"4601",113863,NA,NA
"4602",113864,1.42,2
"4603",113865,5,3
"4604",113866,5,3
"4605",113867,NA,7
"4606",113868,0.49,1
"4607",113869,2.65,3
"4608",113870,5,3
"4609",113871,3.84,3
"4610",113872,0.83,1
"4611",113873,5,3
"4612",113874,0.96,1
"4613",113875,1.82,2
"4614",113876,0.7,1
"4615",113877,NA,3
"4616",113878,NA,9
"4617",113879,0.76,1
"4618",113880,2.06,3
"4619",113881,1.44,2
"4620",113882,NA,7
"4621",113883,2.67,3
"4622",113884,5,3
"4623",113885,0.69,1
"4624",113886,3.95,3
"4625",113887,NA,3
"4626",113888,2,3
"4627",113889,0.73,1
"4628",113890,0.41,1
"4629",113891,NA,3
"4630",113892,0.57,1
"4631",113893,1.19,1
"4632",113894,0.67,1
"4633",113895,2.9,3
"4634",113896,NA,9
"4635",113897,5,3
"4636",113898,NA,NA
"4637",113899,NA,3
"4638",113900,NA,NA
"4639",113901,1.22,1
"4640",113902,3.34,3
"4641",113903,3.69,3
"4642",113904,1.42,2
"4643",113905,NA,1
"4644",113906,1,1
"4645",113907,NA,1
"4646",113908,5,3
"4647",113909,0,1
"4648",113910,1.04,1
"4649",113911,1.75,2
"4650",113912,5,3
"4651",113913,1.67,2
"4652",113914,1.67,2
"4653",113915,0,1
"4654",113916,NA,NA
"4655",113917,3.18,3
"4656",113918,0,1
"4657",113919,0.88,1
"4658",113920,3.35,3
"4659",113921,2.94,3
"4660",113922,0.92,1
"4661",113923,1.96,3
"4662",113924,0.86,1
"4663",113925,NA,NA
"4664",113926,0.51,1
"4665",113927,2.67,3
"4666",113928,3.26,3
"4667",113929,1.67,2
"4668",113930,NA,2
"4669",113931,1.06,1
"4670",113932,0.65,1
"4671",113933,2.56,3
"4672",113934,2.35,3
"4673",113935,0.85,1
"4674",113936,3.84,3
"4675",113937,0.92,1
"4676",113938,NA,NA
"4677",113939,3.82,3
"4678",113940,1.51,2
"4679",113941,1.63,2
"4680",113942,0.94,1
"4681",113943,5,3
"4682",113944,0.76,1
"4683",113945,5,3
"4684",113946,3.06,3
"4685",113947,1.17,1
"4686",113948,1.46,2
"4687",113949,2.04,3
"4688",113950,1.6,2
"4689",113951,2.66,3
"4690",113952,5,3
"4691",113953,NA,3
"4692",113954,0.18,1
"4693",113955,5,3
"4694",113956,4.88,3
"4695",113957,0.82,1
"4696",113958,NA,1
"4697",113959,NA,3
"4698",113960,NA,NA
"4699",113961,NA,NA
"4700",113962,NA,NA
"4701",113963,4.19,3
"4702",113964,0.88,1
"4703",113965,3.94,3
"4704",113966,NA,3
"4705",113967,1.01,1
"4706",113968,2.43,3
"4707",113969,NA,7
"4708",113970,NA,NA
"4709",113971,2.14,3
"4710",113972,2.67,3
"4711",113973,NA,NA
"4712",113974,3.73,3
"4713",113975,4.5,3
"4714",113976,1.37,2
"4715",113977,5,3
"4716",113978,1.03,1
"4717",113979,NA,1
"4718",113980,1.22,1
"4719",113981,2.21,3
"4720",113982,NA,3
"4721",113983,4.37,3
"4722",113984,4.77,3
"4723",113985,NA,NA
"4724",113986,1.63,2
"4725",113987,3.55,3
"4726",113988,0.77,1
"4727",113989,0.55,1
"4728",113990,1.77,2
"4729",113991,NA,NA
"4730",113992,2.98,3
"4731",113993,1.14,1
"4732",113994,1.92,3
"4733",113995,0.92,1
"4734",113996,1.18,1
"4735",113997,0.73,1
"4736",113998,5,3
"4737",113999,1.25,1
"4738",114000,2.81,3
"4739",114001,0.03,1
"4740",114002,1.31,2
"4741",114003,1.28,1
"4742",114004,NA,1
"4743",114005,NA,1
"4744",114006,3.02,3
"4745",114007,3.55,3
"4746",114008,1.02,1
"4747",114009,1.37,2
"4748",114010,1.32,2
"4749",114011,1.22,1
"4750",114012,0.3,1
"4751",114013,NA,3
"4752",114014,1.1,1
"4753",114015,3.05,3
"4754",114016,1.12,1
"4755",114017,NA,1
"4756",114018,2.63,3
"4757",114019,1.55,2
"4758",114020,1.04,1
"4759",114021,NA,3
"4760",114022,0.72,1
"4761",114023,NA,9
"4762",114024,1.6,2
"4763",114025,2.39,3
"4764",114026,1.03,1
"4765",114027,2.62,3
"4766",114028,1.31,2
"4767",114029,0.73,1
"4768",114030,NA,3
"4769",114031,5,3
"4770",114032,3.65,3
"4771",114033,4.59,3
"4772",114034,2.63,3
"4773",114035,1.52,2
"4774",114036,1.49,2
"4775",114037,NA,NA
"4776",114038,1.6,2
"4777",114039,2.35,3
"4778",114040,0.63,1
"4779",114041,3.38,3
"4780",114042,NA,3
"4781",114043,5,3
"4782",114044,1.43,2
"4783",114045,5,3
"4784",114046,3.73,3
"4785",114047,0.81,1
"4786",114048,2.21,3
"4787",114049,3.55,3
"4788",114050,2.63,3
"4789",114051,2.2,3
"4790",114052,3.36,3
"4791",114053,5,3
"4792",114054,3.69,3
"4793",114055,0,1
"4794",114056,5,3
"4795",114057,1.69,2
"4796",114058,2.69,3
"4797",114059,3.65,3
"4798",114060,1.03,1
"4799",114061,3.06,3
"4800",114062,0.93,1
"4801",114063,NA,NA
"4802",114064,1.73,2
"4803",114065,3.82,3
"4804",114066,NA,1
"4805",114067,NA,NA
"4806",114068,2.13,3
"4807",114069,1.95,3
"4808",114070,1.46,2
"4809",114071,NA,3
"4810",114072,0,1
"4811",114073,1.86,3
"4812",114074,5,3
"4813",114075,2.79,3
"4814",114076,0,1
"4815",114077,0.59,1
"4816",114078,NA,3
"4817",114079,0.45,1
"4818",114080,0.5,1
"4819",114081,0.46,1
"4820",114082,1.09,1
"4821",114083,2.14,3
"4822",114084,5,3
"4823",114085,1.59,2
"4824",114086,1.63,2
"4825",114087,NA,NA
"4826",114088,NA,1
"4827",114089,1.54,2
"4828",114090,4.8,3
"4829",114091,2.67,3
"4830",114092,0.49,1
"4831",114093,2.2,3
"4832",114094,2.25,3
"4833",114095,0.36,1
"4834",114096,4.74,3
"4835",114097,NA,NA
"4836",114098,5,3
"4837",114099,0.72,1
"4838",114100,1.78,2
"4839",114101,1.46,2
"4840",114102,3.38,3
"4841",114103,5,3
"4842",114104,1.75,2
"4843",114105,NA,NA
"4844",114106,2.4,3
"4845",114107,5,3
"4846",114108,1.17,1
"4847",114109,NA,9
"4848",114110,1.99,3
"4849",114111,0.99,1
"4850",114112,2.49,3
"4851",114113,NA,NA
"4852",114114,0.73,1
"4853",114115,0.82,1
"4854",114116,5,3
"4855",114117,5,3
"4856",114118,3.31,3
"4857",114119,0.35,1
"4858",114120,0.7,1
"4859",114121,0.91,1
"4860",114122,3.84,3
"4861",114123,0.59,1
"4862",114124,4.43,3
"4863",114125,1.48,2
"4864",114126,0.32,1
"4865",114127,0.95,1
"4866",114128,4.42,3
"4867",114129,3.94,3
"4868",114130,5,3
"4869",114131,0.77,1
"4870",114132,2.93,3
"4871",114133,5,3
"4872",114134,3.94,3
"4873",114135,NA,NA
"4874",114136,4.11,3
"4875",114137,0.86,1
"4876",114138,5,3
"4877",114139,0.82,1
"4878",114140,0.43,1
"4879",114141,NA,3
"4880",114142,1.35,2
"4881",114143,NA,NA
